method,n_cells,theta_mean,n_confounders,target,auroc,auprc,type_i,ks_stat,time
PGAA_linear,400,0.15,10,gene_0232,0.7575493612078978,0.4933718332401222,0.006968641114982578,0.08686337003813266,0.41381025314331055
Partial_Pearson,400,0.15,10,gene_0232,0.7447735191637631,0.5344956130170924,0.006968641114982578,0.09139450095135904,0.15601873397827148
PGAA_linear,400,0.15,10,gene_0135,0.644308943089431,0.38966224482252854,0.0,0.10246017524422879,0.4156532287597656
Partial_Pearson,400,0.15,10,gene_0135,0.6849593495934959,0.40942251188034373,0.003484320557491289,0.14495399844228302,0.12622404098510742
PGAA_linear,400,0.3,3,gene_0055,0.7122531939605111,0.46534950745616754,0.0,0.047963298101893925,0.4113898277282715
Partial_Pearson,400,0.3,3,gene_0055,0.7511614401858304,0.4746805204089174,0.0,0.025986453565927325,0.079071044921875
PGAA_linear,400,0.3,3,gene_0263,0.7012195121951219,0.35022403740475117,0.0,0.11600869555382598,0.3698689937591553
Partial_Pearson,400,0.3,3,gene_0263,0.6922183507549362,0.3405838728554582,0.003484320557491289,0.08864571799113152,0.1058659553527832
PGAA_linear,400,0.3,3,gene_0058,0.7935540069686411,0.26055464933650513,0.017421602787456445,0.07769473809016181,0.4328920841217041
Partial_Pearson,400,0.3,3,gene_0058,0.8011033681765389,0.2050979723164177,0.010452961672473868,0.053348763813945474,0.08578991889953613
PGAA_linear,400,0.3,3,gene_0104,0.8585946573751452,0.43144972435699536,0.003484320557491289,0.05051031157505392,0.3880620002746582
Partial_Pearson,400,0.3,3,gene_0104,0.7996515679442509,0.4247699181186678,0.003484320557491289,0.03716872250331593,0.13439679145812988
PGAA_linear,400,0.3,5,gene_0043,0.7343205574912892,0.26979562237041443,0.017421602787456445,0.1442374527265987,0.47663283348083496
Partial_Pearson,400,0.3,5,gene_0043,0.7970383275261325,0.2462901535346083,0.020905923344947737,0.08319425637116579,0.15798020362854004
PGAA_linear,400,0.3,5,gene_0083,0.79732868757259,0.4739618010496723,0.010452961672473868,0.04157604708021301,0.3470730781555176
Partial_Pearson,400,0.3,5,gene_0083,0.7865853658536586,0.48099902830008934,0.010452961672473868,0.04728226776982282,0.12596988677978516
PGAA_linear,400,0.3,5,gene_0029,0.8013937282229965,0.6506277537252866,0.006968641114982578,0.09414555822931125,0.4176979064941406
Partial_Pearson,400,0.3,5,gene_0029,0.8266550522648084,0.6419602197444415,0.010452961672473868,0.09334325544970862,0.11753439903259277
PGAA_linear,400,0.3,5,gene_0256,0.6178861788617886,0.06068731354294771,0.0,0.09164275724005133,0.34348011016845703
Partial_Pearson,400,0.3,5,gene_0256,0.5885598141695703,0.06689973377246249,0.010452961672473868,0.04752496202315626,0.12292098999023438
PGAA_linear,400,0.3,10,gene_0065,0.6097560975609756,0.08739663313371795,0.013937282229965157,0.11337922293776626,0.3455328941345215
Partial_Pearson,400,0.3,10,gene_0065,0.6559233449477352,0.08430894454997336,0.027874564459930314,0.08518501055749275,0.14923596382141113
PGAA_linear,400,0.3,10,gene_0282,0.8829849012775842,0.641928200467864,0.020905923344947737,0.09934830709534248,0.38243818283081055
Partial_Pearson,400,0.3,10,gene_0282,0.8739837398373984,0.6134241928836928,0.020905923344947737,0.10945998217455005,0.13744401931762695
PGAA_linear,400,0.3,10,gene_0111,0.8748548199767713,0.3966282371522654,0.003484320557491289,0.11389641899063974,0.44236230850219727
Partial_Pearson,400,0.3,10,gene_0111,0.8754355400696864,0.4155049814094939,0.07317073170731707,0.15031073221364277,0.10548996925354004
PGAA_linear,400,0.3,10,gene_0080,0.7938443670150988,0.5087376150353771,0.010452961672473868,0.09878289847034782,0.4512600898742676
Partial_Pearson,400,0.3,10,gene_0080,0.7633565621370499,0.5037206893423294,0.03484320557491289,0.1541859328675827,0.145233154296875
PGAA_linear,400,0.5,3,gene_0131,0.8417537746806039,0.58313502182243,0.0,0.04086501269020279,0.5261890888214111
Partial_Pearson,400,0.5,3,gene_0131,0.8164924506387922,0.6116786148543746,0.0,0.05733122069985658,0.13769292831420898
PGAA_linear,400,0.5,3,gene_0199,0.9570267131242741,0.7842250946770462,0.013937282229965157,0.05142214570779069,0.3985447883605957
Partial_Pearson,400,0.5,3,gene_0199,0.9703832752613241,0.8264509600337067,0.006968641114982578,0.06442558053248035,0.12482404708862305
